[2026-09-20 20:48:13] prueba
[2026-09-20 20:48:20] prueba
[2026-09-20 20:48:20] prueba
[2026-09-20 20:48:25] prueba
[2026-09-20 20:48:29] prueba
[2026-09-20 20:48:32] prueba
[2026-09-20 20:48:36] prueba
[2026-09-20 20:48:41] prueba
[2026-09-20 20:48:43] prueba
[2026-09-20 20:48:47] prueba
[2026-09-20 20:48:52] prueba
[2026-09-20 20:48:55] prueba
[2026-09-20 20:48:59] prueba
[2026-09-20 20:49:04] prueba
[2026-09-20 20:49:06] prueba
[2026-09-20 21:01:24] p_stRxHubStatus->HubStatus (C7)
[2026-09-20 21:01:24] p_stRxHubStatus->TimeRunning (1047)Seg
[2026-09-20 21:01:24] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:01:24] p_stRxHubStatus->netcurrent (1)A
[2026-09-20 21:01:24] p_stRxHubStatus->HubStatus (C7)
[2026-09-20 21:01:24] p_stRxHubStatus->TimeRunning (1050)Seg
[2026-09-20 21:01:24] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:01:24] p_stRxHubStatus->netcurrent (1)A
[2026-09-20 21:01:24] p_stRxHubStatus->HubStatus (C7)
[2026-09-20 21:01:24] p_stRxHubStatus->TimeRunning (1053)Seg
[2026-09-20 21:01:24] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:01:24] p_stRxHubStatus->netcurrent (1)A
[2026-09-20 21:01:24] p_stRxHubStatus->HubStatus (C7)
[2026-09-20 21:01:24] p_stRxHubStatus->TimeRunning (1056)Seg
[2026-09-20 21:01:24] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:01:24] p_stRxHubStatus->netcurrent (1)A
[2026-09-20 21:18:13] p_stRxHubStatus->HubStatus (80)
[2026-09-20 21:18:13] p_stRxHubStatus->TimeRunning (71)Seg
[2026-09-20 21:18:13] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:18:13] p_stRxHubStatus->netcurrent (43066)A
[2026-09-20 21:18:17] p_stRxHubStatus->HubStatus (87)
[2026-09-20 21:18:17] p_stRxHubStatus->TimeRunning (78)Seg
[2026-09-20 21:18:17] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:18:17] p_stRxHubStatus->netcurrent (43066)A
[2026-09-20 21:18:26] p_stRxHubStatus->HubStatus (87)
[2026-09-20 21:18:26] p_stRxHubStatus->TimeRunning (81)Seg
[2026-09-20 21:18:26] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:18:26] p_stRxHubStatus->netcurrent (43066)A
[2026-09-20 21:18:26] p_stRxHubStatus->HubStatus (87)
[2026-09-20 21:18:26] p_stRxHubStatus->TimeRunning (84)Seg
[2026-09-20 21:18:26] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:18:26] p_stRxHubStatus->netcurrent (43066)A
[2026-09-20 21:18:27] p_stRxHubStatus->HubStatus (87)
[2026-09-20 21:18:27] p_stRxHubStatus->TimeRunning (87)Seg
[2026-09-20 21:18:27] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:18:27] p_stRxHubStatus->netcurrent (43066)A
[2026-09-20 21:18:31] p_stRxHubStatus->HubStatus (87)
[2026-09-20 21:18:31] p_stRxHubStatus->TimeRunning (90)Seg
[2026-09-20 21:18:31] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:18:31] p_stRxHubStatus->netcurrent (43066)A
[2026-09-20 21:18:35] p_stRxHubStatus->HubStatus (87)
[2026-09-20 21:18:35] p_stRxHubStatus->TimeRunning (93)Seg
[2026-09-20 21:18:35] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:18:35] p_stRxHubStatus->netcurrent (43066)A
[2026-09-20 21:19:57] p_stRxHubStatus->HubStatus (87)
[2026-09-20 21:19:57] p_stRxHubStatus->TimeRunning (161)Seg
[2026-09-20 21:19:57] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:19:57] p_stRxHubStatus->netcurrent (43066)A
[2026-09-20 21:20:05] p_stRxHubStatus->HubStatus (87)
[2026-09-20 21:20:05] p_stRxHubStatus->TimeRunning (164)Seg
[2026-09-20 21:20:05] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:20:05] p_stRxHubStatus->netcurrent (43066)A
[2026-09-20 21:20:05] p_stRxHubStatus->HubStatus (87)
[2026-09-20 21:20:05] p_stRxHubStatus->TimeRunning (167)Seg
[2026-09-20 21:20:05] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:20:05] p_stRxHubStatus->netcurrent (43066)A
[2026-09-20 21:20:09] p_stRxHubStatus->HubStatus (87)
[2026-09-20 21:20:09] p_stRxHubStatus->TimeRunning (170)Seg
[2026-09-20 21:20:09] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:20:09] p_stRxHubStatus->netcurrent (43066)A
[2026-09-20 21:20:13] p_stRxHubStatus->HubStatus (87)
[2026-09-20 21:20:13] p_stRxHubStatus->TimeRunning (173)Seg
[2026-09-20 21:20:13] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:20:13] p_stRxHubStatus->netcurrent (43066)A
[2026-09-20 21:20:17] p_stRxHubStatus->HubStatus (87)
